Size,RunIndex,CaseName,Tool,Sequence,Scenario,MetricValue,PhaseName,MetricName,Iteration
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform,257120,Modification,Time,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform,14005832,Modification,Memory,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,13441965,M2MTransformation2,Time,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,14020776,M2MTransformation2,Memory,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,35481432,M2MTransformation2,AverageMemory,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,35481432,M2MTransformation2,PeakMemory,2
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform,287417,Modification,Time,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform,14033216,Modification,Memory,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform,12776488,M2MTransformation2,Time,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform,14049984,M2MTransformation2,Memory,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform,35508816,M2MTransformation2,AverageMemory,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform,35508816,M2MTransformation2,PeakMemory,3
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform,219813,Modification,Time,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform,14061328,Modification,Memory,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform,12745104,M2MTransformation2,Time,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform,14080720,M2MTransformation2,Memory,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform,35536952,M2MTransformation2,PeakMemory,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform,35536952,M2MTransformation2,AverageMemory,4
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform,233722,Modification,Time,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform,14092200,Modification,Memory,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform,13647831,M2MTransformation2,Time,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform,14107216,M2MTransformation2,Memory,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform,35567800,M2MTransformation2,PeakMemory,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform,35567800,M2MTransformation2,AverageMemory,5
