Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,55701664,PeakMemory,M2MTransformation2,StatisticBasedCase,2
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,44964236,AverageMemory,M2MTransformation2,StatisticBasedCase,2
3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,163150,Time,Modification,StatisticBasedCase,2
3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12756592,Memory,Modification,StatisticBasedCase,2
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,60379570,Time,M2MTransformation2,StatisticBasedCase,2
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12773752,Memory,M2MTransformation2,StatisticBasedCase,2
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,55707128,PeakMemory,M2MTransformation2,StatisticBasedCase,2
3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,44969700,AverageMemory,M2MTransformation2,StatisticBasedCase,2
4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,137078,Time,Modification,StatisticBasedCase,2
4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12772776,Memory,Modification,StatisticBasedCase,2
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,55071808,Time,M2MTransformation2,StatisticBasedCase,2
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12778480,Memory,M2MTransformation2,StatisticBasedCase,2
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,55723328,PeakMemory,M2MTransformation2,StatisticBasedCase,2
4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,44985904,AverageMemory,M2MTransformation2,StatisticBasedCase,2
5,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,136281,Time,Modification,StatisticBasedCase,2
5,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12778256,Memory,Modification,StatisticBasedCase,2
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,53278069,Time,M2MTransformation2,StatisticBasedCase,2
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12783256,Memory,M2MTransformation2,StatisticBasedCase,2
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,77203616,PeakMemory,M2MTransformation2,StatisticBasedCase,2
5,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,44991348,AverageMemory,M2MTransformation2,StatisticBasedCase,2
1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,245164,Time,EMFResourceInitialization,StatisticBasedCase,64
1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,10177384,Memory,EMFResourceInitialization,StatisticBasedCase,64
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,67537784882,Time,Generation,StatisticBasedCase,64
