Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
64,1,6,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1177159701,LowSynchCase,M2MTransformation2
64,2,7,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,136755,LowSynchCase,Modification
64,2,7,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499604112,LowSynchCase,Modification
64,2,8,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1712812065,LowSynchCase,M2MTransformation2
64,2,8,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499626552,LowSynchCase,M2MTransformation2
64,2,8,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1855854200,LowSynchCase,M2MTransformation2
64,2,8,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1184579354,LowSynchCase,M2MTransformation2
64,3,9,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,173587,LowSynchCase,Modification
64,3,9,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499631528,LowSynchCase,Modification
64,3,10,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1733470527,LowSynchCase,M2MTransformation2
64,3,10,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499653848,LowSynchCase,M2MTransformation2
64,3,10,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1180532640,LowSynchCase,M2MTransformation2
64,3,10,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1847995200,LowSynchCase,M2MTransformation2
64,4,11,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,145812,LowSynchCase,Modification
64,4,11,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499658960,LowSynchCase,Modification
64,4,12,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1734255499,LowSynchCase,M2MTransformation2
64,4,12,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499681392,LowSynchCase,M2MTransformation2
64,4,12,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1841903168,LowSynchCase,M2MTransformation2
64,4,12,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1177560384,LowSynchCase,M2MTransformation2
64,5,13,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,189092,LowSynchCase,Modification
