Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,7,143400,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,7,87841368,LowSynchCase,Memory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,8,326652016,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,8,87862800,LowSynchCase,Memory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,8,324180728,LowSynchCase,PeakMemory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,8,216753988,LowSynchCase,AverageMemory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,9,181797,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,9,87869056,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,10,244208694,LowSynchCase,Time
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,10,87890480,LowSynchCase,Memory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,10,324208480,LowSynchCase,PeakMemory
3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,10,216781708,LowSynchCase,AverageMemory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,11,89073,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,11,87896920,LowSynchCase,Memory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,12,243959533,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,12,87918496,LowSynchCase,Memory
