Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Time,2,52796597
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Memory,2,12933016
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,AverageMemory,2,45140540
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,PeakMemory,2,55877952
7,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Time,2,144707
7,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Memory,2,12933144
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Time,2,53052722
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Memory,2,12940464
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,PeakMemory,2,77358544
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,AverageMemory,2,45146256
9,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Time,2,150231
9,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Memory,2,12940464
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Time,2,53154898
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Memory,2,12952488
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,AverageMemory,2,45153556
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,PeakMemory,2,77365824
11,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Time,2,165783
11,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Memory,2,12952520
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Time,2,50076916
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Memory,2,12958568
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,PeakMemory,2,55903048
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,AverageMemory,2,45165636
